Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
IDA & IBRD total,IBT,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7319715028976.05,8223741465462.11,8089563440722.43
IDA blend,IDB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,124571951885.577,147911902698.281,154268380563.612
IDA blend,IDB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,183956823094.838,221457173249.089,245448968392.187
IDA only,IDX,Exports of goods and services (current US$),NE.EXP.GNFS.CD,274660388634.655,299484237577.996,310604391765.317
IDA only,IDX,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,378229867652.225,422584211650.051,..
IDA total,IDA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,392925990508.087,441750980370.947,459148163830.6
IDA total,IDA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,557899981208.801,639707188760.379,..
India,IND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,498258560860.385,538635201541.984,528297765706.588
India,IND,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,561612525785.533,642960117087.838,619484791790.59
Indonesia,IDN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,204924485587.546,218580936570.606,206015217322.011
Indonesia,IDN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,182775400031.25,218645206075.832,204350902229.132
"Iran, Islamic Rep.",IRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,111078806814.425,150855203199.296,..
"Iran, Islamic Rep.",IRN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Iraq,IRQ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,74196331075.5499,98608439243.1472,89078156326.7682
