hs2,hs2_id,hs4,hs4_id,section,section_id,time,time_id,trade_value,type
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Sausages,41601,Foodstuffs,4,2017,NA,2130635,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Other Prepared Meat,41602,Foodstuffs,4,2017,NA,34412316,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Processed Fish,41604,Foodstuffs,4,2017,NA,1672053,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Processed Crustaceans,41605,Foodstuffs,4,2017,NA,1863299,Export--US to China
Sugars and sugar confectionery,417,Raw Sugar,41701,Foodstuffs,4,2017,NA,4714059,Export--US to China
Sugars and sugar confectionery,417,Other Sugars,41702,Foodstuffs,4,2017,NA,66388338,Export--US to China
Sugars and sugar confectionery,417,Molasses,41703,Foodstuffs,4,2017,NA,24561,Export--US to China
Sugars and sugar confectionery,417,Confectionery Sugar,41704,Foodstuffs,4,2017,NA,6324043,Export--US to China
Cocoa and cocoa preparations,418,Cocoa Beans,41801,Foodstuffs,4,2017,NA,56835,Export--US to China
Cocoa and cocoa preparations,418,Cocoa Paste,41803,Foodstuffs,4,2017,NA,85310,Export--US to China
Cocoa and cocoa preparations,418,Cocoa Butter,41804,Foodstuffs,4,2017,NA,16154,Export--US to China
Cocoa and cocoa preparations,418,Cocoa Powder,41805,Foodstuffs,4,2017,NA,411794,Export--US to China
Cocoa and cocoa preparations,418,Chocolate,41806,Foodstuffs,4,2017,NA,18894168,Export--US to China
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,Malt Extract,41901,Foodstuffs,4,2017,NA,30442797,Export--US to China
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,Pasta,41902,Foodstuffs,4,2017,NA,1620195,Export--US to China
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,Prepared Cereals,41904,Foodstuffs,4,2017,NA,10300222,Export--US to China
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,Baked Goods,41905,Foodstuffs,4,2017,NA,13371331,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Pickled Foods,42001,Foodstuffs,4,2017,NA,72180,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Processed Tomatoes,42002,Foodstuffs,4,2017,NA,6065401,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Processed Mushrooms,42003,Foodstuffs,4,2017,NA,127908,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Other Frozen Vegetables,42004,Foodstuffs,4,2017,NA,86428150,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Other Processed Vegetables,42005,Foodstuffs,4,2017,NA,3735937,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Sugar Preserved Foods,42006,Foodstuffs,4,2017,NA,769227,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Jams,42007,Foodstuffs,4,2017,NA,7832802,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Other Processed Fruits and Nuts,42008,Foodstuffs,4,2017,NA,108521619,Export--US to China
"Preparations of vegetables, fruit, nuts or other parts of plants",420,Fruit Juice,42009,Foodstuffs,4,2017,NA,11310180,Export--US to China
Miscellaneous edible preparations,421,Coffee and Tea Extracts,42101,Foodstuffs,4,2017,NA,5635357,Export--US to China
Miscellaneous edible preparations,421,Yeast,42102,Foodstuffs,4,2017,NA,2040500,Export--US to China
Miscellaneous edible preparations,421,Sauces and Seasonings,42103,Foodstuffs,4,2017,NA,10756487,Export--US to China
Miscellaneous edible preparations,421,Soups and Broths,42104,Foodstuffs,4,2017,NA,511388,Export--US to China
Miscellaneous edible preparations,421,Ice Cream,42105,Foodstuffs,4,2017,NA,3000602,Export--US to China
Miscellaneous edible preparations,421,Other Edible Preparations,42106,Foodstuffs,4,2017,NA,142348932,Export--US to China
