country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd
Liechtenstein,2017,6552858738.70214,0,0,173356.051288416,0
Liechtenstein,2018,6876981286.43011,0,0,181402.83002981,0
Lithuania,2017,47758736931.7801,4.28259695120761,16908.1265005971,16885.4073948373,144.873355393449
Lithuania,2018,53722883091.3513,3.9368459012309,17742.2632333198,19176.1765182085,148.639351605477
Lithuania,2019,54627411860.4705,4.33886103349596,18609.7159346199,19601.8908343885,149.693087967651
Low & middle income,2017,29869835182245.6,4.93163556585053,4551.74763800932,4753.28273311431,48.3095298422813
Low & middle income,2018,31817960829724.9,4.42662293839278,4695.41372438399,5001.6997794477,51.0704740460786
Low & middle income,2019,32709070487543,3.67697282850308,4810.4026924325,5080.87769439704,49.1183064291288
Low income,2017,503283508816.823,3.71007447993144,790.928144073569,792.826294086647,0
Low income,2018,518428827997.3,3.6897573827345,799.296791572348,795.957116426116,0
Low income,2019,541511926907.273,3.95531912341869,809.621635648142,810.094853446518,0
Lower middle income,2017,5768755648290.69,5.46827834021985,2009.25461665923,2037.37364885081,53.7388133647635
Lower middle income,2018,6007305623255.79,5.16415676910673,2082.90564748765,2091.39057844093,57.2311167274475
Lower middle income,2019,6334933300545.64,3.9626596620151,2134.9951877703,2174.43979701111,54.4746281787643
Luxembourg,2017,64181944722.7283,1.80118095539584,109452.960045415,107627.151006695,400.079471313964
Luxembourg,2018,70919958015.5247,3.11083626560442,110701.877200861,116654.26106674,387.103339675389
Luxembourg,2019,71104919108.1411,2.29697881609749,111062.340609832,114704.594170863,381.516616449664
Macao,2017,50751059058.0613,9.88758406914916,56423.2850551249,81516.6749248075,113.274805562102
Macao,2018,55084050789.7182,5.44254261921597,58641.6276638714,87208.535912643,116.001448278033
Macao,2019,53859116535.5306,-4.71085944721383,55110.5139504132,84096.3963112065,116.93951733499
Macedonia,2017,11307058382.3435,1.08177273813243,5300.81493522933,5430.87421029797,124.13728389629
Macedonia,2018,12683073866.1105,2.89999999999999,5452.01942677311,6088.97244500876,133.215198242456
Macedonia,2019,12547040498.9077,3.2,5625.13107315736,6022.21617939574,138.82722145992
Madagascar,2017,13176313233.1978,3.93331617112422,481.383147878006,515.29272487784,65.3434032953133
Madagascar,2018,13853433947.6241,4.56478275948496,490.097332875823,527.501326141803,62.5018012233029
Madagascar,2019,14114631280.6774,4.85100000002106,500.401970795678,523.359064460847,59.8817117544283
Malawi,2017,6303292264.18905,4.00003051653042,512.645612270701,356.717573153369,65.3298707550812
Malawi,2018,6917301908.62757,3.1700032203733,515.106449633898,381.258987601084,68.9861649721217
Malawi,2019,7666704427.00915,4.36923899075217,523.603451590109,411.552340423602,66.6045095827059
Malaysia,2017,319112136545.438,5.81272240983328,11736.8485306827,10259.1817806895,133.155173371956
Malaysia,2018,358715057123.739,4.769927023631,12131.4931629214,11377.4550023015,130.430419361579
Malaysia,2019,364681367531.684,4.30281598221003,12486.6788007841,11414.2069765208,123.000183693894
Maldives,2017,4754352301.4104,7.21047978783251,7837.38662570682,9577.62519371477,151.55719813982
Maldives,2018,5299773145.08744,8.12881366096461,8157.41335146456,10276.9328152389,153.86718681717
Maldives,2019,5642179170.45898,6.98667554039628,8476.56400867767,10626.513402239,146.991519564917
Mali,2017,15365627045.0866,5.30545608438166,766.142358238521,830.018367429228,58.0684483263947
Mali,2018,17070758732.1991,4.74648432724561,778.727885828542,894.802186858006,60.1447828038175
Mali,2019,17279566718.6087,4.75134153416911,791.646128746768,879.008010446655,57.952113764353
Malta,2017,13146963159.1185,8.01506313434925,28201.5227071065,28091.8616473935,284.72114130149
Malta,2018,14750790658.4025,5.17859848221423,28644.0595554038,30437.2215058962,269.951905751648
Malta,2019,14989415684.1203,4.9198221173362,28975.7128709527,29820.6032474099,273.715493627058
Marshall Islands,2017,212881000,4.05664458426934,2977.79656642921,3666.69537359193,122.918578924376
Marshall Islands,2018,221278000,3.6247527596621,3066.98104378652,3788.16359372058,125.72768192048
Mauritania,2017,6758390728.71734,3.49717500591493,1715.61075228775,1578.11417355949,91.9904485679432
Mauritania,2018,7049169770.86399,2.11526763746781,1703.86101491802,1600.87646860561,96.5551210323869
Mauritania,2019,7600656943.97506,5.93144208859553,1756.1185151256,1679.44487300408,93.0357951620475
Mauritius,2017,13259351418.4459,3.8141521149642,10199.4793607429,10484.9083620411,97.3654913265719
Mauritius,2018,14181951058.5129,3.75967723144153,10577.1757298579,11208.3438184474,94.9841664311718
Mauritius,2019,14048430518.5561,3.01476291122817,10892.5401750016,11099.2402835688,92.1745289928504
Mexico,2017,1158913035796.37,2.11312913549695,10277.8835173506,9287.84973619382,77.1157445044434
Mexico,2018,1222348807283.2,2.19499204896051,10385.8326568791,9686.51378326598,80.5632997329994
